user_id,ll_joint,ll_pers,test_purchases,delta_ll
22044,-1.175344806679551,-1.177625112814377,0.0,0.0022803061348259934
22072,-27.860919508458966,-28.14481149120515,9.0,0.28389198274618366
22188,-63.203003722675355,-67.30964390976341,27.0,4.106640187088054
22226,-60.46668333019569,-68.40878773211944,23.0,7.942104401923743
22235,-14.470177994384667,-15.151983915214347,3.0,0.6818059208296798
22348,-0.8816165002601954,-0.8739092546142408,0.0,-0.007707245645954597
22349,-9.759575206915965,-9.250781286910403,2.0,-0.5087939200055622
22385,-12.941365687827927,-12.742395908073235,3.0,-0.19896977975469277
22399,-14.195254004276762,-13.12871510908697,3.0,-1.066538895189792
22697,-10.256586741039772,-9.874721977067855,2.0,-0.38186476397191704
23053,-6.158458458144534,-4.034846149808562,0.0,-2.1236123083359724
23067,-5.717490839384512,-5.819708320088983,1.0,0.10221748070447134
23134,-5.015883210651678,-4.518499553015877,0.0,-0.49738365763580106
23250,-8.113328994270002,-8.174543201224175,1.0,0.06121420695417257
23558,-22.50159245179141,-22.878146465581814,7.0,0.376554013790404
23666,-5.072230552294518,-5.00590081011509,1.0,-0.06632974217942778
23704,-30.090181639323696,-29.78571747064507,10.0,-0.30446416867862425
23867,-39.92668929794369,-41.704358920806854,17.0,1.777669622863165
23932,-8.579525898698865,-8.554771887628878,2.0,-0.024754011069987314
24045,-10.486241581517392,-8.68906572637555,2.0,-1.7971758551418429
24092,-37.6067478559521,-32.90185211739077,11.0,-4.7048957385613335
24289,-1.0529465941043596,-1.4813409710145136,0.0,0.4283943769101539
24426,-0.5873366407456396,-1.177625112814377,0.0,0.5902884720687375
24606,-70.56634493073965,-90.5656407256333,21.0,19.999295794893655
24644,-27.29448616855391,-27.134577025170657,9.0,-0.15990914338325268
24828,-7.002697788125498,-8.46680570961765,0.0,1.464107921492153
24912,-17.648686814021364,-17.06295656254096,4.0,-0.5857302514804026
25090,-15.778648092940719,-15.048029177641169,4.0,-0.7306189152995497
25122,-39.546209145754325,-40.14667050566923,17.0,0.6004613599149025
25194,-18.41012103531844,-17.696946703162265,4.0,-0.713174332156175
25332,-23.238894719776496,-23.53133050854907,8.0,0.2924357887725719
25346,-4.240826499733609,-5.065435220786979,1.0,0.8246087210533695
25404,-5.9689907468346535,-5.829153032930517,1.0,-0.13983771390413668
25562,-10.065631267120093,-9.931221668363511,2.0,-0.13440959875658187
25637,-50.17071378274081,-49.289265900716806,22.0,-0.8814478820240055
25672,-26.978854877710326,-30.872639534500458,8.0,3.8937846567901317
25724,-13.035718766235105,-13.99939979889455,3.0,0.963681032659446
25772,-39.764383625113844,-41.75603213105647,18.0,1.9916485059426279
25964,-37.6187368109904,-38.81612258281329,15.0,1.1973857718228942
26063,-18.63695111512694,-21.440548418309287,4.0,2.8035973031823467
26084,-7.63185225280199,-7.996343321799372,1.0,0.36449106899738126
26101,-15.68966828299367,-15.505869636174761,4.0,-0.183798646818909
26104,-19.281662342188802,-20.53920848989662,6.0,1.2575461477078171
26107,-7.5339146862502435,-10.793864197338898,1.0,3.2599495110886547
26211,-16.24518771098932,-16.58102736849069,5.0,0.3358396575013707
26367,-9.44495164289733,-9.760621311909375,1.0,0.3156696690120455
26522,-29.333457775486234,-35.92932069937966,10.0,6.595862923893424
